smoke,sex,age,edu,weight,height,bmi,sport,marital,region,wkabint,income,ls,ID
NO,FEMALE,57,VOCATIONAL/GRAMMAR,89.0,170.0,30.7958477508651,NO,MARRIED,Lubuskie,NO,800.0,PLEASED,0
NO,MALE,20,VOCATIONAL/GRAMMAR,82.0,187.0,23.4493408447482,NO,SINGLE,Podlaskie,NO,350.0,MOSTLY SATISFIED,1
NO,FEMALE,18,VOCATIONAL/GRAMMAR,50.0,165.0,18.3654729109275,NO,SINGLE,Mazowieckie,NO,,PLEASED,2
NO,FEMALE,78,PRIMARY/NO EDUCATION,78.0,160.0,30.46875,YES,WIDOWED,Podlaskie,NO,900.0,MIXED,3
YES,FEMALE,54,VOCATIONAL/GRAMMAR,50.0,158.0,20.0288415318058,YES,MARRIED,Zachodnio-pomorskie,NO,1500.0,MOSTLY SATISFIED,4
NO,MALE,20,SECONDARY,65.0,165.0,23.8751147842057,NO,SINGLE,Slaskie,NO,0.0,PLEASED,5
NO,FEMALE,39,SECONDARY,68.0,168.0,24.092970521542,YES,MARRIED,Wielkopolskie,NO,2000.0,MOSTLY SATISFIED,6
NO,MALE,39,SECONDARY,86.0,171.0,29.4107588659759,NO,MARRIED,Lubuskie,NO,1197.0,MIXED,7
YES,FEMALE,43,SECONDARY,54.0,167.0,19.3624726594715,YES,MARRIED,Swietokrzyskie,NO,580.0,MOSTLY SATISFIED,8
YES,FEMALE,63,SECONDARY,65.0,155.0,27.0551508844953,YES,MARRIED,Dolnoslaskie,NO,1400.0,PLEASED,9
YES,FEMALE,38,VOCATIONAL/GRAMMAR,77.0,180.0,23.7654320987654,YES,MARRIED,Kujawsko-pomorskie,NO,1500.0,MOSTLY DISSATISFIED,10
NO,FEMALE,73,VOCATIONAL/GRAMMAR,78.0,168.0,27.6360544217687,YES,WIDOWED,Slaskie,NO,1700.0,PLEASED,11
YES,FEMALE,54,SECONDARY,75.0,170.0,25.9515570934256,YES,WIDOWED,Slaskie,NO,2000.0,MOSTLY SATISFIED,12
YES,MALE,30,VOCATIONAL/GRAMMAR,74.0,170.0,25.6055363321799,YES,SINGLE,Zachodnio-pomorskie,NO,900.0,MOSTLY SATISFIED,13
NO,MALE,68,SECONDARY,65.0,165.0,23.8751147842057,NO,MARRIED,Pomorskie,NO,0.0,DELIGHTED,14
YES,MALE,61,PRIMARY/NO EDUCATION,,,,YES,MARRIED,Mazowieckie,NO,0.0,MIXED,15
NO,MALE,84,PRIMARY/NO EDUCATION,56.0,170.0,19.3771626297578,YES,SINGLE,Slaskie,NO,2000.0,PLEASED,16
NO,FEMALE,87,SECONDARY,75.0,155.0,31.2174817898023,YES,DIVORCED,Lodzkie,NO,1400.0,MIXED,17
YES,MALE,47,PRIMARY/NO EDUCATION,70.0,164.0,26.0261748958953,YES,MARRIED,Slaskie,NO,560.0,PLEASED,18
YES,MALE,45,VOCATIONAL/GRAMMAR,78.0,181.0,23.8087970452672,YES,MARRIED,Podkarpackie,YES,530.0,PLEASED,19
NO,FEMALE,60,VOCATIONAL/GRAMMAR,100.0,164.0,37.180249851279,YES,MARRIED,Podkarpackie,NO,700.0,MIXED,20
YES,MALE,27,VOCATIONAL/GRAMMAR,97.0,175.0,31.6734693877551,YES,SINGLE,Mazowieckie,NO,1000.0,PLEASED,21
YES,FEMALE,49,POST-SECONDARY OR HIGHER,60.0,160.0,23.4375,NO,MARRIED,Lubelskie,NO,0.0,PLEASED,22
YES,FEMALE,58,POST-SECONDARY OR HIGHER,59.0,162.0,22.4813290656912,YES,MARRIED,Slaskie,NO,3500.0,MOSTLY SATISFIED,23
NO,MALE,30,VOCATIONAL/GRAMMAR,75.0,174.0,24.7720967102656,YES,SINGLE,Podkarpackie,NO,1600.0,PLEASED,24
YES,MALE,59,SECONDARY,68.0,176.0,21.952479338843,YES,MARRIED,Malopolskie,NO,1300.0,PLEASED,25
NO,FEMALE,26,POST-SECONDARY OR HIGHER,58.0,160.0,22.65625,NO,SINGLE,Dolnoslaskie,NO,1500.0,MOSTLY SATISFIED,26
